D,M,N,__pyience_timestamp__,acc_amm,acc_orig,activation,corr,cossim,lut_work_const,method,muls,ncodebooks,nlookups,nonzeros_heuristic,normalized_mse,objective,problem,raw_mse,secs,task_id,trial,y_mean,y_std,yhat_mean,yhat_std
512,100,10000,2021-12-26T17_37_55,0.7048,0.7048,,1.0000035,1.0000029,,Exact,512000000,,,,2.570215e-14,,softmax,4.5134106e-13,0.0161468320000039,CIFAR-100 Softmax,0,0.0052466886,4.190518,0.0052466844,4.1905174
512,100,10000,2021-12-26T17_38_07,0.2912,0.7048,,0.5886730551719666,0.588522732257843,-1.0,Mithral,5120000,2.0,2000000.0,,0.6578044295310974,,softmax,11.551335334777832,0.0394776190000811,CIFAR-100 Softmax,0,0.0052466886118054,4.190517902374268,0.0701523423194885,2.735355854034424
512,100,10000,2021-12-26T17_38_18,0.5488,0.7048,,0.7419188022613525,0.7419137954711914,-1.0,Mithral,5120000,4.0,4000000.0,,0.4577045142650604,,softmax,8.037492752075195,0.0624294859999281,CIFAR-100 Softmax,0,0.0052466886118054,4.190517902374268,0.0018238828051835,3.487932205200196
512,100,10000,2021-12-26T17_38_30,0.655,0.7048,,0.8611235618591309,0.8611582517623901,-1.0,Mithral,5120000,8.0,8000000.0,,0.2638503313064575,,softmax,4.633327960968018,0.1120509419999962,CIFAR-100 Softmax,0,0.0052466886118054,4.190517902374268,0.0019415024435147,3.916587829589844
512,100,10000,2021-12-26T17_38_43,0.6931,0.7048,,0.934634566307068,0.93470299243927,-1.0,Mithral,5120000,16.0,16000000.0,,0.1287855803966522,,softmax,2.261531352996826,0.2293283909998535,CIFAR-100 Softmax,0,0.0052466886118054,4.190517902374268,0.0093736201524734,4.122897624969482
512,100,10000,2021-12-26T17_39_03,0.7007,0.7048,,0.9669786095619202,0.9669399857521056,-1.0,Mithral,5120000,32.0,32000000.0,,0.0657481029629707,,softmax,1.1545655727386477,0.4595163940000475,CIFAR-100 Softmax,0,0.0052466886118054,4.190517902374268,0.0079523269087076,4.1637139320373535
512,100,10000,2021-12-26T17_39_34,0.7017,0.7048,,0.9847227334976196,0.9847285747528076,-1.0,Mithral,5120000,64.0,64000000.0,,0.0306817442178726,,softmax,0.538784921169281,0.8753328500001771,CIFAR-100 Softmax,0,0.0052466886118054,4.190517902374268,0.0028426763601601,4.205233573913574
512,100,10000,2021-12-26T17_39_36,0.2926,0.7048,None,0.5885668992996216,0.5884296298027039,-1.0,Pluto,5120000,2.0,2000000.0,pq,0.6577429175376892,mse-sklearn,softmax,11.550254821777344,0.0357344499998362,CIFAR-100 Softmax,0,0.0052466886118054,4.190517902374268,0.0690270066261291,2.72839617729187
512,100,10000,2021-12-26T17_39_39,0.2915,0.7048,None,0.5886050462722778,0.5884338021278381,-1.0,Pluto,5120000,2.0,2000000.0,pq,0.6576966047286987,mse,softmax,11.549442291259766,0.0355214149999483,CIFAR-100 Softmax,0,0.0052466886118054,4.190517902374268,0.0672907978296279,2.728344678878784
512,100,10000,2021-12-26T17_39_45,0.3527,0.7048,None,0.5063148140907288,0.5061371922492981,-1.0,Pluto,5120000,2.0,2000000.0,pq,0.7481469511985779,kld,softmax,13.137789726257324,0.0353632540000035,CIFAR-100 Softmax,0,0.0052466886118054,4.190517902374268,0.0688646659255027,2.395447254180908
512,100,10000,2021-12-26T17_40_05,0.3073,0.7048,None,0.5910967588424683,0.590945839881897,-1.0,Pluto,5120000,2.0,2000000.0,r2,0.6543169021606445,mse-sklearn,softmax,11.490093231201172,0.0335911030001625,CIFAR-100 Softmax,0,0.0052466886118054,4.190517902374268,0.0646302476525306,2.725090980529785
512,100,10000,2021-12-26T17_40_25,0.3092,0.7048,None,0.5887553691864014,0.5886184573173523,-1.0,Pluto,5120000,2.0,2000000.0,r2,0.657044529914856,mse,softmax,11.537991523742676,0.0351767500001187,CIFAR-100 Softmax,0,0.0052466886118054,4.190517902374268,0.065705582499504,2.714804172515869
512,100,10000,2021-12-26T17_40_48,0.4039,0.7048,None,0.5092293620109558,0.5092122554779053,-1.0,Pluto,5120000,2.0,2000000.0,r2,0.7476992011070251,kld,softmax,13.129926681518556,0.0357881249999536,CIFAR-100 Softmax,0,0.0052466886118054,4.190517902374268,0.0341457948088645,2.4839556217193604
512,100,10000,2021-12-26T17_42_15,0.306,0.7048,None,0.584895133972168,0.5847504734992981,-1.0,Pluto,5120000,2.0,2000000.0,opq,0.6625687479972839,mse-sklearn,softmax,11.63499927520752,0.0305390100002114,CIFAR-100 Softmax,0,0.0052466886118054,4.190517902374268,0.0675549879670143,2.73004412651062
512,100,10000,2021-12-26T17_43_31,0.306,0.7048,None,0.5849025249481201,0.5847553014755249,-1.0,Pluto,5120000,2.0,2000000.0,opq,0.66257244348526,mse,softmax,11.63506317138672,0.029890866000187,CIFAR-100 Softmax,0,0.0052466886118054,4.190517902374268,0.067510224878788,2.73039174079895
512,100,10000,2021-12-26T17_44_54,0.3576,0.7048,None,0.5035865902900696,0.5035715699195862,-1.0,Pluto,5120000,2.0,2000000.0,opq,0.7520349621772766,kld,softmax,13.20606517791748,0.0304825450002681,CIFAR-100 Softmax,0,0.0052466886118054,4.190517902374268,0.0350554622709751,2.423417568206787
512,100,10000,2021-12-26T17_44_55,0.5474,0.7048,None,0.7430227994918823,0.7430102229118347,-1.0,Pluto,5120000,4.0,4000000.0,pq,0.456263929605484,mse-sklearn,softmax,8.012195587158203,0.0663079720002315,CIFAR-100 Softmax,0,0.0052466886118054,4.190517902374268,0.0006612405995838,3.4961729049682617
