D,M,N,__pyience_timestamp__,acc_amm,acc_orig,activation,corr,cossim,lut_work_const,method,muls,ncodebooks,nlookups,nonzeros_heuristic,normalized_mse,objective,problem,raw_mse,secs,task_id,trial,y_mean,y_std,yhat_mean,yhat_std
512,10,10000,2021-12-26T17_07_36,0.9359,0.9359,,1.0000001,0.9999997,,Exact,51200000,,,,2.0634104e-14,,softmax,2.7922508e-13,0.0074799640000002,CIFAR-10 Softmax,0,0.045806058,3.6786156,0.04580601,3.6786156
512,10,10000,2021-12-26T17_07_48,0.9144,0.9359,,0.930353581905365,0.9303340911865234,-1.0,Mithral,5120000,2.0,200000.0,,0.1353840976953506,,softmax,1.832046389579773,0.0043170019999987,CIFAR-10 Softmax,0,0.0458060577511787,3.67861557006836,0.0742768868803978,3.531299591064453
512,10,10000,2021-12-26T17_07_58,0.9244,0.9359,,0.9510613679885864,0.9510682821273804,-1.0,Mithral,5120000,4.0,400000.0,,0.0956025198101997,,softmax,1.2937135696411133,0.0084142739999997,CIFAR-10 Softmax,0,0.0458060577511787,3.67861557006836,0.046806089580059,3.537923574447632
512,10,10000,2021-12-26T17_08_09,0.9251,0.9359,,0.962993323802948,0.962989091873169,-1.0,Mithral,5120000,8.0,800000.0,,0.0727274715900421,,softmax,0.9841635823249816,0.0163410190000021,CIFAR-10 Softmax,0,0.0458060577511787,3.67861557006836,0.0607646740972995,3.512392044067383
512,10,10000,2021-12-26T17_08_21,0.9314,0.9359,,0.9763168096542358,0.9763199090957642,-1.0,Mithral,5120000,16.0,1600000.0,,0.0469860285520553,,softmax,0.6358249187469482,0.0317340929999971,CIFAR-10 Softmax,0,0.0458060577511787,3.67861557006836,0.0439381785690784,3.5411856174468994
512,10,10000,2021-12-26T17_08_37,0.933,0.9359,,0.9859375357627868,0.9859318137168884,-1.0,Mithral,5120000,32.0,3200000.0,,0.0279557704925537,,softmax,0.3783034086227417,0.0654525149999898,CIFAR-10 Softmax,0,0.0458060577511787,3.67861557006836,0.0362354442477226,3.611019372940064
512,10,10000,2021-12-26T17_09_03,0.9341,0.9359,,0.9911574125289916,0.9911568760871888,-1.0,Mithral,5120000,64.0,6400000.0,,0.0180784557014703,,softmax,0.2446414977312088,0.1258005179999912,CIFAR-10 Softmax,0,0.0458060577511787,3.67861557006836,0.0423596762120723,3.5666091442108154
512,10,10000,2021-12-26T17_09_04,0.9145,0.9359,None,0.9299826622009276,0.9299618005752563,-1.0,Pluto,5120000,2.0,200000.0,pq,0.1362174302339553,mse-sklearn,softmax,1.843323230743408,0.0044446810000096,CIFAR-10 Softmax,0,0.0458060577511787,3.67861557006836,0.0764625072479248,3.538130760192871
512,10,10000,2021-12-26T17_09_06,0.9145,0.9359,None,0.9299735426902772,0.929953932762146,-1.0,Pluto,5120000,2.0,200000.0,pq,0.1362184584140777,mse,softmax,1.8433371782302856,0.004486368000002,CIFAR-10 Softmax,0,0.0458060577511787,3.67861557006836,0.0760714188218116,3.537360906600952
512,10,10000,2021-12-26T17_09_08,0.9159,0.9359,None,0.9190957546234132,0.9190744161605836,-1.0,Pluto,5120000,2.0,200000.0,pq,0.1584315598011016,kld,softmax,2.143929481506348,0.0044142999999934,CIFAR-10 Softmax,0,0.0458060577511787,3.67861557006836,0.0795839205384254,3.58549165725708
512,10,10000,2021-12-26T17_09_25,0.9133,0.9359,None,0.9305552840232848,0.93046236038208,-1.0,Pluto,5120000,2.0,200000.0,r2,0.1350957304239273,mse-sklearn,softmax,1.828144073486328,0.0044626250000021,CIFAR-10 Softmax,0,0.0458060577511787,3.67861557006836,0.1009387597441673,3.527537107467652
