D,M,N,__pyience_timestamp__,acc_amm,acc_orig,alpha,bias,canCheat,corr,cossim,d,lut_work_const,method,muls,ncentroids,ncodebooks,nlookups,nnz,normalized_mse,problem,r,raw_mse,secs,sparsity,task_id,trial,y_mean,y_std,yhat_mean,yhat_std
512,100,10000,2019-12-31T16_39_38,0.0135,0.7048,,-0.037290554493665695,,,,1.0,,Hadamard,6120000.0,,,,,1.4158744812011719,,0.09458587318658827,24.863378524780273,0.015931817004457116,,CIFAR-100 Softmax,1,0.005246688611805439,4.1905179023742685,,3.1273739337921143
512,100,10000,2019-12-31T16_39_38,0.0135,0.7048,,-0.037290554493665695,,,,1.0,,Hadamard,6120000.0,,,,,1.4158744812011719,,0.09458587318658827,24.863378524780273,0.013151224004104732,,CIFAR-100 Softmax,2,0.005246688611805439,4.1905179023742685,,3.1273739337921143
512,100,10000,2019-12-31T16_39_38,0.0135,0.7048,,-0.037290554493665695,,,,1.0,,Hadamard,6120000.0,,,,,1.4158744812011719,,0.09458587318658827,24.863378524780273,0.015180402086116375,,CIFAR-100 Softmax,3,0.005246688611805439,4.1905179023742685,,3.1273739337921143
512,100,10000,2019-12-31T16_39_38,0.0135,0.7048,,-0.037290554493665695,,,,1.0,,Hadamard,6120000.0,,,,,1.4158744812011719,,0.09458587318658827,24.863378524780273,0.014252639026381075,,CIFAR-100 Softmax,4,0.005246688611805439,4.1905179023742685,,3.1273739337921143
512,100,10000,2019-12-31T16_39_39,0.0198,0.7048,,-0.02258562296628952,,,,2.0,,Hadamard,12240000.0,,,,,1.1468766927719116,,0.13916628062725067,20.1396598815918,0.014144481043331325,,CIFAR-100 Softmax,1,0.005246688611805439,4.1905179023742685,,2.291598320007324
512,100,10000,2019-12-31T16_39_39,0.0198,0.7048,,-0.02258562296628952,,,,2.0,,Hadamard,12240000.0,,,,,1.1468766927719116,,0.13916628062725067,20.1396598815918,0.014501363970339297,,CIFAR-100 Softmax,2,0.005246688611805439,4.1905179023742685,,2.291598320007324
512,100,10000,2019-12-31T16_39_39,0.0198,0.7048,,-0.02258562296628952,,,,2.0,,Hadamard,12240000.0,,,,,1.1468766927719116,,0.13916628062725067,20.1396598815918,0.01638712198473513,,CIFAR-100 Softmax,3,0.005246688611805439,4.1905179023742685,,2.291598320007324
512,100,10000,2019-12-31T16_39_39,0.0198,0.7048,,-0.02258562296628952,,,,2.0,,Hadamard,12240000.0,,,,,1.1468766927719116,,0.13916628062725067,20.1396598815918,0.014547470025718212,,CIFAR-100 Softmax,4,0.005246688611805439,4.1905179023742685,,2.291598320007324
512,100,10000,2019-12-31T16_39_39,0.0288,0.7048,,-0.011399778537452221,,,,4.0,,Hadamard,24480000.0,,,,,0.9935389757156372,,0.2127952128648758,17.44698143005371,0.012999554979614912,,CIFAR-100 Softmax,1,0.005246688611805439,4.1905179023742685,,1.7172793149948118
512,100,10000,2019-12-31T16_39_39,0.0288,0.7048,,-0.011399778537452221,,,,4.0,,Hadamard,24480000.0,,,,,0.9935389757156372,,0.2127952128648758,17.44698143005371,0.01353875594213605,,CIFAR-100 Softmax,2,0.005246688611805439,4.1905179023742685,,1.7172793149948118
512,100,10000,2019-12-31T16_39_39,0.0288,0.7048,,-0.011399778537452221,,,,4.0,,Hadamard,24480000.0,,,,,0.9935389757156372,,0.2127952128648758,17.44698143005371,0.013148625963367522,,CIFAR-100 Softmax,3,0.005246688611805439,4.1905179023742685,,1.7172793149948118
512,100,10000,2019-12-31T16_39_39,0.0288,0.7048,,-0.011399778537452221,,,,4.0,,Hadamard,24480000.0,,,,,0.9935389757156372,,0.2127952128648758,17.44698143005371,0.013199753011576831,,CIFAR-100 Softmax,4,0.005246688611805439,4.1905179023742685,,1.7172793149948118
512,100,10000,2019-12-31T16_39_40,0.0869,0.7048,,-0.0059599541127681715,,,,8.0,,Hadamard,48960000.0,,,,,0.8737022280693054,,0.35632753372192383,15.342595100402832,0.01504640490747988,,CIFAR-100 Softmax,1,0.005246688611805439,4.1905179023742685,,1.3847655057907104
512,100,10000,2019-12-31T16_39_40,0.0869,0.7048,,-0.0059599541127681715,,,,8.0,,Hadamard,48960000.0,,,,,0.8737022280693054,,0.35632753372192383,15.342595100402832,0.015216073021292688,,CIFAR-100 Softmax,2,0.005246688611805439,4.1905179023742685,,1.3847655057907104
512,100,10000,2019-12-31T16_39_40,0.0869,0.7048,,-0.0059599541127681715,,,,8.0,,Hadamard,48960000.0,,,,,0.8737022280693054,,0.35632753372192383,15.342595100402832,0.013860298902727664,,CIFAR-100 Softmax,3,0.005246688611805439,4.1905179023742685,,1.3847655057907104
512,100,10000,2019-12-31T16_39_40,0.0869,0.7048,,-0.0059599541127681715,,,,8.0,,Hadamard,48960000.0,,,,,0.8737022280693054,,0.35632753372192383,15.342595100402832,0.014877549023367463,,CIFAR-100 Softmax,4,0.005246688611805439,4.1905179023742685,,1.3847655057907104
512,100,10000,2019-12-31T17_03_02,0.7042,0.7048,,-0.001595621113665402,,0.9994075894355774,0.9994069933891296,64.0,,PCA,391680000.0,,,,,0.0012002846924588086,,,0.021077526733279228,0.010871203965507448,,CIFAR-100 Softmax,0,0.005246688611805439,4.1905179023742685,,4.174707412719728
512,100,10000,2019-12-31T17_12_56,0.6688,0.7048,,0.0070908707566559315,,0.8277069330215454,0.8277045488357544,64.0,,HashJL,69171200.0,,,,,0.38514965772628784,,,6.763397693634032,0.08669875503983349,,CIFAR-100 Softmax,0,0.005246688611805439,4.1905179023742685,,2.357897996902466
