D,M,N,__pyience_timestamp__,acc_amm,acc_orig,corr,cossim,d,lut_work_const,method,muls,ncodebooks,nlookups,normalized_mse,problem,raw_mse,secs,task_id,trial,y_mean,y_std,yhat_mean,yhat_std
320,5,308,2020-01-28T01_36_35,0.43506493506493504,0.43506493506493504,0.9999999999999998,1.0,,,Exact,492800.0,,,0.0,softmax,0.0,0.00020773499272763732,ucr Haptics k=128,0,-2.2845338956574714,2.3183064702488867,-2.2845338956574714,2.3183064702488867
320,6,300,2020-01-28T01_36_35,0.76,0.76,0.9999999999999998,0.9999999999999994,,,Exact,576000.0,,,0.0,softmax,0.0,0.00012047102791257204,ucr SyntheticControl k=128,0,-0.2863902148787604,3.1880881878128524,-0.2863902148787604,3.1880881878128524
320,5,77,2020-01-28T01_36_35,0.2987012987012987,0.2987012987012987,1.0,1.0,,,Exact,123200.0,,,0.0,softmax,0.0,5.636300193145872e-05,ucr Worms k=128,0,-0.26320113803405226,3.1687477877034773,-0.26320113803405226,3.1687477877034773
320,1,250,2020-01-28T01_36_35,0.5,0.5,0.9999999999999996,1.0,,,Exact,80000.0,,,0.0,softmax,0.0,9.499999578110874e-05,ucr Computers k=128,0,-0.3261776846561688,3.3025146787337967,-0.3261776846561688,3.3025146787337967
320,26,130,2020-01-28T01_36_35,0.2769230769230769,0.2769230769230769,1.0,1.0,,,Exact,1081600.0,,,0.0,softmax,0.0,7.398900925181806e-05,ucr GestureMidAirD3 k=128,0,-6.187240627949071,3.5041991288211074,-6.187240627949071,3.5041991288211074
320,8,3582,2020-01-28T01_36_35,0.7867113344500279,0.7867113344500279,1.0000000000000002,1.0,,,Exact,9169920.0,,,0.0,softmax,0.0,0.005341075011529028,ucr UWaveGestureLibraryAll k=128,0,-1.6696311847728422,3.0462813656145427,-1.6696311847728422,3.0462813656145427
320,1,370,2020-01-28T01_36_35,0.3567567567567568,0.3567567567567568,1.0,1.0,,,Exact,118400.0,,,0.0,softmax,0.0,0.0001226530002895743,ucr Strawberry k=128,0,1.118086680783023,2.5601155638567965,1.118086680783023,2.5601155638567965
320,1,316,2020-01-28T01_36_35,0.5063291139240507,0.5063291139240507,1.0,1.0000000000000004,,,Exact,101120.0,,,0.0,softmax,0.0,8.96829878911376e-05,ucr GunPointAgeSpan k=128,0,-0.11302572640691938,2.777741626917227,-0.11302572640691938,2.777741626917227
320,26,130,2020-01-28T01_36_35,0.3692307692307693,0.3692307692307693,1.0,0.9999999999999996,,,Exact,1081600.0,,,0.0,softmax,0.0,7.380900206044316e-05,ucr GestureMidAirD2 k=128,0,-3.8869346206178577,3.096335626338404,-3.8869346206178577,3.096335626338404
320,1,6164,2020-01-28T01_36_35,0.10788449059052564,0.10788449059052564,1.0,1.0,,,Exact,1972480.0,,,0.0,softmax,0.0,0.009751334990141913,ucr Wafer k=128,0,4.738993558237358,5.616391295141502,4.738993558237358,5.616391295141502
