mithral lut dense   , N D C B lut_work_const:,   16384,  64, 128, 64, -1.0, (5x10):, 121.4590, (2.7626e+08/s), 121.5360, (2.7609e+08/s), 121.1510, (2.7696e+08/s), 120.7960, (2.7778e+08/s), 120.7580, (2.7787e+08/s)
mithral lut sparse  , N D C B lut_work_const:,   16384,  64, 128, 64,  2.0, (5x10):, 37.3010, (8.9956e+08/s), 37.1270, (9.0377e+08/s), 36.9790, (9.0739e+08/s), 36.9290, (9.0862e+08/s), 37.2350, (9.0115e+08/s)
mithral lut sparse  , N D C B lut_work_const:,   16384,  64, 128, 64,  4.0, (5x10):, 38.1420, (8.7972e+08/s), 38.4180, (8.7340e+08/s), 38.2300, (8.7770e+08/s), 38.2970, (8.7616e+08/s), 38.1430, (8.7970e+08/s)
mithral lut dense   , N D C B lut_work_const:,   16384, 128,  16,  8, -1.0, (5x10):, 16.9320, (2.4771e+08/s), 16.8080, (2.4954e+08/s), 16.8450, (2.4899e+08/s), 16.8700, (2.4863e+08/s), 16.8020, (2.4963e+08/s)
mithral lut sparse  , N D C B lut_work_const:,   16384, 128,  16,  8,  2.0, (5x10):,  4.9880, (8.4088e+08/s),  4.9940, (8.3987e+08/s),  5.0130, (8.3669e+08/s),  5.0000, (8.3886e+08/s),  5.0180, (8.3585e+08/s)
mithral lut sparse  , N D C B lut_work_const:,   16384, 128,  16,  8,  4.0, (5x10):,  7.3810, (5.6826e+08/s),  7.3430, (5.7120e+08/s),  7.5010, (5.5917e+08/s),  7.3570, (5.7011e+08/s),  7.3560, (5.7019e+08/s)
mithral lut dense   , N D C B lut_work_const:,   16384, 128,  32, 16, -1.0, (5x10):, 37.9710, (2.2092e+08/s), 38.2290, (2.1943e+08/s), 38.2250, (2.1945e+08/s), 38.0240, (2.2061e+08/s), 38.1670, (2.1979e+08/s)
mithral lut sparse  , N D C B lut_work_const:,   16384, 128,  32, 16,  2.0, (5x10):,  8.1920, (1.0240e+09/s),  8.1860, (1.0248e+09/s),  8.2580, (1.0158e+09/s),  8.1990, (1.0231e+09/s),  8.3050, (1.0101e+09/s)
mithral lut sparse  , N D C B lut_work_const:,   16384, 128,  32, 16,  4.0, (5x10):, 10.7520, (7.8019e+08/s), 10.7620, (7.7947e+08/s), 10.7980, (7.7687e+08/s), 10.7920, (7.7730e+08/s), 10.8250, (7.7493e+08/s)
mithral lut dense   , N D C B lut_work_const:,   16384, 128,  64, 32, -1.0, (5x10):, 108.9440, (1.5400e+08/s), 109.2680, (1.5354e+08/s), 108.8710, (1.5410e+08/s), 108.9660, (1.5397e+08/s), 109.0130, (1.5390e+08/s)
mithral lut sparse  , N D C B lut_work_const:,   16384, 128,  64, 32,  2.0, (5x10):, 17.6290, (9.5168e+08/s), 17.8250, (9.4122e+08/s), 17.5800, (9.5434e+08/s), 17.8000, (9.4254e+08/s), 17.6230, (9.5201e+08/s)
mithral lut sparse  , N D C B lut_work_const:,   16384, 128,  64, 32,  4.0, (5x10):, 20.2890, (8.2691e+08/s), 20.3150, (8.2585e+08/s), 20.3560, (8.2419e+08/s), 20.3930, (8.2269e+08/s), 20.2510, (8.2846e+08/s)
mithral lut dense   , N D C B lut_work_const:,   16384, 128, 128, 64, -1.0, (5x10):, 218.3110, (1.5370e+08/s), 218.2820, (1.5372e+08/s), 218.4290, (1.5362e+08/s), 218.2290, (1.5376e+08/s), 217.9160, (1.5398e+08/s)
mithral lut sparse  , N D C B lut_work_const:,   16384, 128, 128, 64,  2.0, (5x10):, 38.2670, (8.7685e+08/s), 38.1630, (8.7924e+08/s), 38.0960, (8.8079e+08/s), 38.7240, (8.6650e+08/s), 38.3060, (8.7596e+08/s)
mithral lut sparse  , N D C B lut_work_const:,   16384, 128, 128, 64,  4.0, (5x10):, 42.1640, (7.9581e+08/s), 41.0260, (8.1788e+08/s), 42.0840, (7.9732e+08/s), 41.6640, (8.0536e+08/s), 41.2770, (8.1291e+08/s)
mithral lut dense   , N D C B lut_work_const:,   16384, 256,  16,  8, -1.0, (5x10):, 36.9230, (1.1360e+08/s), 36.3300, (1.1545e+08/s), 36.4150, (1.1518e+08/s), 36.4130, (1.1519e+08/s), 36.5090, (1.1488e+08/s)
mithral lut sparse  , N D C B lut_work_const:,   16384, 256,  16,  8,  2.0, (5x10):,  8.0340, (5.2207e+08/s),  8.0860, (5.1871e+08/s),  8.0420, (5.2155e+08/s),  8.0470, (5.2123e+08/s),  8.0790, (5.1916e+08/s)
mithral lut sparse  , N D C B lut_work_const:,   16384, 256,  16,  8,  4.0, (5x10):, 13.4420, (3.1203e+08/s), 13.4310, (3.1229e+08/s), 13.3990, (3.1303e+08/s), 13.3790, (3.1350e+08/s), 13.4140, (3.1268e+08/s)
mithral lut dense   , N D C B lut_work_const:,   16384, 256,  32, 16, -1.0, (5x10):, 105.4250, (7.9569e+07/s), 105.2520, (7.9700e+07/s), 105.1880, (7.9749e+07/s), 105.5420, (7.9481e+07/s), 105.5370, (7.9485e+07/s)
mithral lut sparse  , N D C B lut_work_const:,   16384, 256,  32, 16,  2.0, (5x10):, 14.1840, (5.9141e+08/s), 14.0810, (5.9574e+08/s), 14.1870, (5.9129e+08/s), 14.2750, (5.8764e+08/s), 14.1940, (5.9100e+08/s)
mithral lut sparse  , N D C B lut_work_const:,   16384, 256,  32, 16,  4.0, (5x10):, 21.1480, (3.9666e+08/s), 21.2020, (3.9565e+08/s), 21.2480, (3.9480e+08/s), 21.0600, (3.9832e+08/s), 21.1190, (3.9721e+08/s)
mithral lut dense   , N D C B lut_work_const:,   16384, 256,  64, 32, -1.0, (5x10):, 209.9790, (7.9899e+07/s), 209.8320, (7.9955e+07/s), 210.1180, (7.9847e+07/s), 209.8970, (7.9931e+07/s), 210.1480, (7.9835e+07/s)
