algo, _0, N, C, B, M, _1, latency0, _2, latency1, _3, latency2, _4, latency3, _5, latency4, _6
bolt scan safe uint16 , N C B M:,  100000,  16,  8, 12, (5x20):,  0.4410, (2.7211e+09/s),  0.4490, (2.6726e+09/s),  0.4430, (2.7088e+09/s),  0.4410, (2.7211e+09/s),  0.4380, (2.7397e+09/s)
bolt scan orig        , N C B M:,  100000,  16,  8, 12, (5x20):,  0.4340, (2.7650e+09/s),  0.4400, (2.7273e+09/s),  0.4370, (2.7460e+09/s),  0.4360, (2.7523e+09/s),  0.4380, (2.7397e+09/s)
pq scan               , N C B M:,  100000,   8,  8, 12, (5x20):,  4.5480, (2.6385e+08/s),  4.5420, (2.6420e+08/s),  4.5240, (2.6525e+08/s),  4.5410, (2.6426e+08/s),  4.5420, (2.6420e+08/s)
------------------------ B = 16
mithral scan          , N C B M:,  100000,  32, 16, 12, (5x20):,  0.4070, (2.9484e+09/s),  0.4010, (2.9925e+09/s),  0.4080, (2.9412e+09/s),  0.4070, (2.9484e+09/s),  0.3990, (3.0075e+09/s)
bolt scan uint8       , N C B M:,  100000,  32, 16, 12, (5x20):,  0.4790, (2.5052e+09/s),  0.4720, (2.5424e+09/s),  0.4660, (2.5751e+09/s),  0.4780, (2.5105e+09/s),  0.4720, (2.5424e+09/s)
bolt scan uint16      , N C B M:,  100000,  32, 16, 12, (5x20):,  0.6600, (1.8182e+09/s),  0.6600, (1.8182e+09/s),  0.6640, (1.8072e+09/s),  0.6700, (1.7910e+09/s),  0.6620, (1.8127e+09/s)
bolt scan safe uint16 , N C B M:,  100000,  32, 16, 12, (5x20):,  0.8690, (1.3809e+09/s),  0.8790, (1.3652e+09/s),  0.8980, (1.3363e+09/s),  0.8680, (1.3825e+09/s),  0.8840, (1.3575e+09/s)
bolt scan orig        , N C B M:,  100000,  32, 16, 12, (5x20):,  0.8900, (1.3483e+09/s),  0.8850, (1.3559e+09/s),  0.9130, (1.3143e+09/s),  0.8890, (1.3498e+09/s),  0.9010, (1.3319e+09/s)
pq scan               , N C B M:,  100000,  16, 16, 12, (5x20):,  8.8940, (1.3492e+08/s),  8.8270, (1.3595e+08/s),  8.9030, (1.3479e+08/s),  8.9180, (1.3456e+08/s),  8.9270, (1.3442e+08/s)
