Caltech3x3, sparse sketch fixedW, N D M d f:,  49284,  27,   2,   4,  0.250,    (5x5),   0.428, (2.303e+08/s),   0.430, (2.292e+08/s),   0.430, (2.292e+08/s),   0.429, (2.298e+08/s),   0.429, (2.298e+08/s)
Caltech3x3, sparse sketch fixedW, N D M d f:,  49284,  27,   2,   4,  0.300,    (5x5),   0.490, (2.012e+08/s),   0.490, (2.012e+08/s),   0.490, (2.012e+08/s),   0.489, (2.016e+08/s),   0.489, (2.016e+08/s)
Caltech3x3, sparse sketch fixedW, N D M d f:,  49284,  27,   2,   4,  0.350,    (5x5),   0.545, (1.809e+08/s),   0.545, (1.809e+08/s),   0.545, (1.809e+08/s),   0.545, (1.809e+08/s),   0.545, (1.809e+08/s)
Caltech3x3, sparse sketch fixedW, N D M d f:,  49284,  27,   2,   4,  0.400,    (5x5),   0.618, (1.595e+08/s),   0.618, (1.595e+08/s),   0.618, (1.595e+08/s),   0.618, (1.595e+08/s),   0.618, (1.595e+08/s)
Caltech3x3, sparse sketch fixedW, N D M d f:,  49284,  27,   2,   4,  0.350,    (5x5),   0.547, (1.802e+08/s),   0.546, (1.805e+08/s),   0.545, (1.809e+08/s),   0.545, (1.809e+08/s),   0.545, (1.809e+08/s)
Caltech3x3, sparse sketch fixedW, N D M d f:,  49284,  27,   2,   8,  0.010,    (5x5),   0.169, (5.832e+08/s),   0.169, (5.832e+08/s),   0.169, (5.832e+08/s),   0.169, (5.832e+08/s),   0.169, (5.832e+08/s)
Caltech3x3, sparse sketch fixedW, N D M d f:,  49284,  27,   2,   8,  0.025,    (5x5),   0.205, (4.808e+08/s),   0.205, (4.808e+08/s),   0.205, (4.808e+08/s),   0.205, (4.808e+08/s),   0.205, (4.808e+08/s)
Caltech3x3, sparse sketch fixedW, N D M d f:,  49284,  27,   2,   8,  0.050,    (5x5),   0.266, (3.706e+08/s),   0.266, (3.706e+08/s),   0.266, (3.706e+08/s),   0.266, (3.706e+08/s),   0.266, (3.706e+08/s)
Caltech3x3, sparse sketch fixedW, N D M d f:,  49284,  27,   2,   8,  0.100,    (5x5),   0.425, (2.319e+08/s),   0.424, (2.325e+08/s),   0.424, (2.325e+08/s),   0.424, (2.325e+08/s),   0.425, (2.319e+08/s)
Caltech3x3, sparse sketch fixedW, N D M d f:,  49284,  27,   2,   8,  0.150,    (5x5),   0.558, (1.766e+08/s),   0.558, (1.766e+08/s),   0.558, (1.766e+08/s),   0.558, (1.766e+08/s),   0.558, (1.766e+08/s)
Caltech3x3, sparse sketch fixedW, N D M d f:,  49284,  27,   2,  16,  0.010,    (5x5),   0.333, (2.960e+08/s),   0.334, (2.951e+08/s),   0.333, (2.960e+08/s),   0.333, (2.960e+08/s),   0.333, (2.960e+08/s)
Caltech3x3, sparse sketch fixedW, N D M d f:,  49284,  27,   2,  16,  0.025,    (5x5),   0.420, (2.347e+08/s),   0.420, (2.347e+08/s),   0.420, (2.347e+08/s),   0.419, (2.352e+08/s),   0.420, (2.347e+08/s)
Caltech3x3, sparse sketch fixedW, N D M d f:,  49284,  27,   2,  16,  0.050,    (5x5),   0.576, (1.711e+08/s),   0.575, (1.714e+08/s),   0.575, (1.714e+08/s),   0.575, (1.714e+08/s),   0.573, (1.720e+08/s)
Caltech5x5, sparse sketch fixedW, N D M d f:,  48400,  75,   2,   2,  0.010,    (5x5),   0.067, (1.445e+09/s),   0.068, (1.424e+09/s),   0.068, (1.424e+09/s),   0.068, (1.424e+09/s),   0.068, (1.424e+09/s)
Caltech5x5, sparse sketch fixedW, N D M d f:,  48400,  75,   2,   2,  0.025,    (5x5),   0.089, (1.088e+09/s),   0.089, (1.088e+09/s),   0.089, (1.088e+09/s),   0.089, (1.088e+09/s),   0.089, (1.088e+09/s)
Caltech5x5, sparse sketch fixedW, N D M d f:,  48400,  75,   2,   2,  0.050,    (5x5),   0.134, (7.224e+08/s),   0.134, (7.224e+08/s),   0.134, (7.224e+08/s),   0.134, (7.224e+08/s),   0.134, (7.224e+08/s)
Caltech5x5, sparse sketch fixedW, N D M d f:,  48400,  75,   2,   2,  0.100,    (5x5),   0.227, (4.264e+08/s),   0.226, (4.283e+08/s),   0.226, (4.283e+08/s),   0.226, (4.283e+08/s),   0.227, (4.264e+08/s)
Caltech5x5, sparse sketch fixedW, N D M d f:,  48400,  75,   2,   2,  0.150,    (5x5),   0.315, (3.073e+08/s),   0.312, (3.103e+08/s),   0.313, (3.093e+08/s),   0.315, (3.073e+08/s),   0.315, (3.073e+08/s)
Caltech5x5, sparse sketch fixedW, N D M d f:,  48400,  75,   2,   2,  0.200,    (5x5),   0.416, (2.327e+08/s),   0.416, (2.327e+08/s),   0.416, (2.327e+08/s),   0.417, (2.321e+08/s),   0.416, (2.327e+08/s)
Caltech5x5, sparse sketch fixedW, N D M d f:,  48400,  75,   2,   2,  0.250,    (5x5),   0.521, (1.858e+08/s),   0.522, (1.854e+08/s),   0.522, (1.854e+08/s),   0.522, (1.854e+08/s),   0.522, (1.854e+08/s)
Caltech5x5, sparse sketch fixedW, N D M d f:,  48400,  75,   2,   2,  0.300,    (5x5),   0.641, (1.510e+08/s),   0.641, (1.510e+08/s),   0.640, (1.512e+08/s),   0.640, (1.512e+08/s),   0.643, (1.505e+08/s)
Caltech5x5, sparse sketch fixedW, N D M d f:,  48400,  75,   2,   2,  0.350,    (5x5),   0.751, (1.289e+08/s),   0.751, (1.289e+08/s),   0.751, (1.289e+08/s),   0.750, (1.291e+08/s),   0.750, (1.291e+08/s)
Caltech5x5, sparse sketch fixedW, N D M d f:,  48400,  75,   2,   2,  0.400,    (5x5),   0.871, (1.111e+08/s),   0.871, (1.111e+08/s),   0.871, (1.111e+08/s),   0.871, (1.111e+08/s),   0.870, (1.113e+08/s)
Caltech5x5, sparse sketch fixedW, N D M d f:,  48400,  75,   2,   2,  0.350,    (5x5),   0.748, (1.294e+08/s),   0.748, (1.294e+08/s),   0.748, (1.294e+08/s),   0.748, (1.294e+08/s),   0.748, (1.294e+08/s)
Caltech5x5, sparse sketch fixedW, N D M d f:,  48400,  75,   2,   2,  0.500,    (5x5),   1.110, (8.721e+07/s),   1.110, (8.721e+07/s),   1.110, (8.721e+07/s),   1.110, (8.721e+07/s),   1.110, (8.721e+07/s)
Caltech5x5, sparse sketch fixedW, N D M d f:,  48400,  75,   2,   2,  0.600,    (5x5),   1.303, (7.429e+07/s),   1.301, (7.440e+07/s),   1.297, (7.463e+07/s),   1.298, (7.458e+07/s),   1.297, (7.463e+07/s)
Caltech5x5, sparse sketch fixedW, N D M d f:,  48400,  75,   2,   2,  0.700,    (5x5),   1.492, (6.488e+07/s),   1.492, (6.488e+07/s),   1.492, (6.488e+07/s),   1.491, (6.492e+07/s),   1.491, (6.492e+07/s)
Caltech5x5, sparse sketch fixedW, N D M d f:,  48400,  75,   2,   2,  0.800,    (5x5),   1.709, (5.664e+07/s),   1.709, (5.664e+07/s),   1.707, (5.671e+07/s),   1.705, (5.677e+07/s),   1.708, (5.667e+07/s)
Caltech5x5, sparse sketch fixedW, N D M d f:,  48400,  75,   2,   2,  0.900,    (5x5),   1.925, (5.029e+07/s),   1.926, (5.026e+07/s),   1.926, (5.026e+07/s),   1.926, (5.026e+07/s),   1.925, (5.029e+07/s)
Caltech5x5, sparse sketch fixedW, N D M d f:,  48400,  75,   2,   4,  0.010,    (5x5),   0.120, (8.067e+08/s),   0.119, (8.134e+08/s),   0.119, (8.134e+08/s),   0.120, (8.067e+08/s),   0.120, (8.067e+08/s)
Caltech5x5, sparse sketch fixedW, N D M d f:,  48400,  75,   2,   4,  0.025,    (5x5),   0.163, (5.939e+08/s),   0.163, (5.939e+08/s),   0.163, (5.939e+08/s),   0.163, (5.939e+08/s),   0.163, (5.939e+08/s)
Caltech5x5, sparse sketch fixedW, N D M d f:,  48400,  75,   2,   4,  0.050,    (5x5),   0.257, (3.767e+08/s),   0.257, (3.767e+08/s),   0.257, (3.767e+08/s),   0.257, (3.767e+08/s),   0.256, (3.781e+08/s)
Caltech5x5, sparse sketch fixedW, N D M d f:,  48400,  75,   2,   4,  0.100,    (5x5),   0.455, (2.127e+08/s),   0.454, (2.132e+08/s),   0.453, (2.137e+08/s),   0.453, (2.137e+08/s),   0.453, (2.137e+08/s)
