------------------------ Caltech3x3
Caltech5x5, our sketch fixedW matmul , N D M d:,  48400,  75,   2,   2, (5x10):,  0.7590, (1.2754e+08/s),  0.7320, (1.3224e+08/s),  0.7320, (1.3224e+08/s),  0.7250, (1.3352e+08/s),  0.7170, (1.3501e+08/s)
Caltech5x5, blas sketch fixedW matmul, N D M d:,  48400,  75,   2,   4, (5x10):,  1.4490, (6.6805e+07/s),  1.4390, (6.7269e+07/s),  1.4790, (6.5450e+07/s),  1.4690, (6.5895e+07/s),  1.4840, (6.5229e+07/s)
Caltech5x5, our sketch fixedW matmul , N D M d:,  48400,  75,   2,   4, (5x10):,  1.5660, (6.1814e+07/s),  1.4630, (6.6165e+07/s),  1.4590, (6.6347e+07/s),  1.4600, (6.6301e+07/s),  1.5780, (6.1343e+07/s)
Caltech5x5, blas sketch fixedW matmul, N D M d:,  48400,  75,   2,   8, (5x10):,  1.8330, (5.2810e+07/s),  1.8740, (5.1654e+07/s),  1.8380, (5.2666e+07/s),  1.8380, (5.2666e+07/s),  1.8500, (5.2324e+07/s)
Caltech5x5, our sketch fixedW matmul , N D M d:,  48400,  75,   2,   8, (5x10):,  2.2520, (4.2984e+07/s),  2.0970, (4.6161e+07/s),  2.0940, (4.6227e+07/s),  2.0950, (4.6205e+07/s),  2.0960, (4.6183e+07/s)
Caltech5x5, blas sketch fixedW matmul, N D M d:,  48400,  75,   2,  16, (5x10):,  2.7170, (3.5628e+07/s),  2.7060, (3.5772e+07/s),  2.7020, (3.5825e+07/s),  2.7070, (3.5759e+07/s),  2.6980, (3.5878e+07/s)
Caltech5x5, our sketch fixedW matmul , N D M d:,  48400,  75,   2,  16, (5x10):,  3.8180, (2.5354e+07/s),  3.8160, (2.5367e+07/s),  3.8160, (2.5367e+07/s),  3.8170, (2.5360e+07/s),  3.8140, (2.5380e+07/s)
Caltech5x5, blas sketch fixedW matmul, N D M d:,  48400,  75,   2,  32, (5x10):,  4.4050, (2.1975e+07/s),  4.4620, (2.1694e+07/s),  4.5670, (2.1196e+07/s),  4.5660, (2.1200e+07/s),  4.5680, (2.1191e+07/s)
Caltech5x5, our sketch fixedW matmul , N D M d:,  48400,  75,   2,  32, (5x10):,  6.7630, (1.4313e+07/s),  7.0500, (1.3730e+07/s),  6.7770, (1.4284e+07/s),  6.7740, (1.4290e+07/s),  6.7750, (1.4288e+07/s)
Caltech5x5, blas sketch fixedW matmul, N D M d:,  48400,  75,   2,  64, (5x10):,  8.1150, (1.1929e+07/s),  8.0900, (1.1965e+07/s),  8.0960, (1.1957e+07/s),  8.0830, (1.1976e+07/s),  8.0910, (1.1964e+07/s)
Caltech5x5, our sketch fixedW matmul , N D M d:,  48400,  75,   2,  64, (5x10):, 13.1980, (7.3344e+06/s), 13.1780, (7.3456e+06/s), 13.1680, (7.3512e+06/s), 13.1590, (7.3562e+06/s), 13.1820, (7.3433e+06/s)
Caltech5x5, blas sketch fixedW matmul, N D M d:,  48400,  75,   2, 128, (5x10):, 18.9990, (5.0950e+06/s), 18.9180, (5.1168e+06/s), 18.9400, (5.1109e+06/s), 18.9260, (5.1147e+06/s), 18.9180, (5.1168e+06/s)
Caltech5x5, our sketch fixedW matmul , N D M d:,  48400,  75,   2, 128, (5x10):, 25.7850, (3.7541e+06/s), 25.6270, (3.7773e+06/s), 25.6320, (3.7765e+06/s), 25.6400, (3.7754e+06/s), 25.6960, (3.7671e+06/s)
