opq encode            , N D C B:,   16384,  64,  16, 16,    (5x10):, 58.5450, (8.9553e+06/s), 58.3810, (8.9805e+06/s), 58.5920, (8.9481e+06/s), 58.3280, (8.9886e+06/s), 58.4940, (8.9631e+06/s)
mithral encode f32    , N D C B:,   16384,  64,  64, 32,    (5x10):,  0.4320, (2.4273e+09/s),  0.4530, (2.3147e+09/s),  0.4530, (2.3147e+09/s),  0.4570, (2.2945e+09/s),  0.4570, (2.2945e+09/s)
mithral encode i8     , N D C B:,   16384,  64,  64, 32,    (5x10):,  0.3940, (2.6614e+09/s),  0.3840, (2.7307e+09/s),  0.3890, (2.6956e+09/s),  0.3900, (2.6887e+09/s),  0.3780, (2.7740e+09/s)
mithral encode i16    , N D C B:,   16384,  64,  64, 32,    (5x10):,  0.4160, (2.5206e+09/s),  0.4080, (2.5700e+09/s),  0.4080, (2.5700e+09/s),  0.4080, (2.5700e+09/s),  0.3970, (2.6412e+09/s)
bolt encode           , N D C B:,   16384,  64,  64, 32,    (5x10):,  4.8980, (2.1408e+08/s),  4.7760, (2.1955e+08/s),  4.7740, (2.1964e+08/s),  4.7710, (2.1978e+08/s),  4.7700, (2.1983e+08/s)
pq encode             , N D C B:,   16384,  64,  32, 32,    (5x10):, 83.4900, (1.2559e+07/s), 83.4400, (1.2567e+07/s), 83.5780, (1.2546e+07/s), 83.5790, (1.2546e+07/s), 83.6440, (1.2536e+07/s)
opq encode            , N D C B:,   16384,  64,  32, 32,    (5x10):, 88.3910, (1.1863e+07/s), 88.2520, (1.1882e+07/s), 88.3100, (1.1874e+07/s), 88.0930, (1.1903e+07/s), 88.1600, (1.1894e+07/s)
mithral encode f32    , N D C B:,   16384, 128,  16,  8,    (5x10):,  0.1360, (1.9275e+09/s),  0.1250, (2.0972e+09/s),  0.1240, (2.1141e+09/s),  0.1200, (2.1845e+09/s),  0.1180, (2.2216e+09/s)
mithral encode i8     , N D C B:,   16384, 128,  16,  8,    (5x10):,  0.0930, (2.8188e+09/s),  0.0860, (3.0482e+09/s),  0.0870, (3.0131e+09/s),  0.0840, (3.1208e+09/s),  0.0850, (3.0840e+09/s)
mithral encode i16    , N D C B:,   16384, 128,  16,  8,    (5x10):,  0.1000, (2.6214e+09/s),  0.0970, (2.7025e+09/s),  0.0990, (2.6479e+09/s),  0.0990, (2.6479e+09/s),  0.0990, (2.6479e+09/s)
bolt encode           , N D C B:,   16384, 128,  16,  8,    (5x10):,  3.3900, (7.7329e+07/s),  3.0530, (8.5864e+07/s),  3.2730, (8.0093e+07/s),  3.0380, (8.6288e+07/s),  3.0400, (8.6232e+07/s)
pq encode             , N D C B:,   16384, 128,   8,  8,    (5x10):, 64.9400, (4.0367e+06/s), 64.9760, (4.0345e+06/s), 65.0480, (4.0300e+06/s), 65.0940, (4.0272e+06/s), 65.0790, (4.0281e+06/s)
opq encode            , N D C B:,   16384, 128,   8,  8,    (5x10):, 91.0450, (2.8793e+06/s), 91.0080, (2.8805e+06/s), 91.0020, (2.8806e+06/s), 91.5750, (2.8626e+06/s), 91.2170, (2.8739e+06/s)
mithral encode f32    , N D C B:,   16384, 128,  32, 16,    (5x10):,  0.2770, (1.8927e+09/s),  0.2860, (1.8332e+09/s),  0.2830, (1.8526e+09/s),  0.2830, (1.8526e+09/s),  0.2910, (1.8017e+09/s)
mithral encode i8     , N D C B:,   16384, 128,  32, 16,    (5x10):,  0.2140, (2.4499e+09/s),  0.1940, (2.7025e+09/s),  0.1910, (2.7450e+09/s),  0.1870, (2.8037e+09/s),  0.1950, (2.6887e+09/s)
mithral encode i16    , N D C B:,   16384, 128,  32, 16,    (5x10):,  0.2050, (2.5575e+09/s),  0.2050, (2.5575e+09/s),  0.2090, (2.5086e+09/s),  0.2070, (2.5328e+09/s),  0.2030, (2.5827e+09/s)
bolt encode           , N D C B:,   16384, 128,  32, 16,    (5x10):,  3.9400, (1.3307e+08/s),  4.2090, (1.2456e+08/s),  4.2320, (1.2389e+08/s),  4.2340, (1.2383e+08/s),  3.9420, (1.3300e+08/s)
pq encode             , N D C B:,   16384, 128,  16, 16,    (5x10):, 80.6740, (6.4988e+06/s), 80.8090, (6.4880e+06/s), 80.4650, (6.5157e+06/s), 80.6180, (6.5034e+06/s), 80.7010, (6.4967e+06/s)
opq encode            , N D C B:,   16384, 128,  16, 16,    (5x10):, 106.8670, (4.9060e+06/s), 107.0350, (4.8983e+06/s), 106.8730, (4.9057e+06/s), 106.7830, (4.9098e+06/s), 106.8350, (4.9075e+06/s)
mithral encode f32    , N D C B:,   16384, 128,  64, 32,    (5x10):,  0.5830, (1.7986e+09/s),  0.5250, (1.9973e+09/s),  0.5370, (1.9527e+09/s),  0.5170, (2.0282e+09/s),  0.5430, (1.9311e+09/s)
mithral encode i8     , N D C B:,   16384, 128,  64, 32,    (5x10):,  0.4120, (2.5451e+09/s),  0.3930, (2.6681e+09/s),  0.3890, (2.6956e+09/s),  0.3960, (2.6479e+09/s),  0.3970, (2.6412e+09/s)
mithral encode i16    , N D C B:,   16384, 128,  64, 32,    (5x10):,  0.4350, (2.4105e+09/s),  0.4460, (2.3511e+09/s),  0.4290, (2.4442e+09/s),  0.4370, (2.3995e+09/s),  0.4280, (2.4499e+09/s)
bolt encode           , N D C B:,   16384, 128,  64, 32,    (5x10):,  5.9470, (1.7632e+08/s),  5.8080, (1.8054e+08/s),  5.7380, (1.8274e+08/s),  5.7360, (1.8281e+08/s),  5.7420, (1.8262e+08/s)
pq encode             , N D C B:,   16384, 128,  32, 32,    (5x10):, 107.5970, (9.7454e+06/s), 107.5090, (9.7534e+06/s), 107.5730, (9.7476e+06/s), 107.6230, (9.7430e+06/s), 107.7630, (9.7304e+06/s)
opq encode            , N D C B:,   16384, 128,  32, 32,    (5x10):, 133.7940, (7.8372e+06/s), 133.4270, (7.8588e+06/s), 133.2580, (7.8688e+06/s), 133.5080, (7.8540e+06/s), 133.9080, (7.8306e+06/s)
mithral encode f32    , N D C B:,   16384, 256,  16,  8,    (5x10):,  0.1230, (2.1313e+09/s),  0.1230, (2.1313e+09/s),  0.1220, (2.1487e+09/s),  0.1220, (2.1487e+09/s),  0.1200, (2.1845e+09/s)
mithral encode i8     , N D C B:,   16384, 256,  16,  8,    (5x10):,  0.0930, (2.8188e+09/s),  0.0880, (2.9789e+09/s),  0.0890, (2.9454e+09/s),  0.0880, (2.9789e+09/s),  0.0870, (3.0131e+09/s)
mithral encode i16    , N D C B:,   16384, 256,  16,  8,    (5x10):,  0.0990, (2.6479e+09/s),  0.0980, (2.6749e+09/s),  0.0980, (2.6749e+09/s),  0.0990, (2.6479e+09/s),  0.0980, (2.6749e+09/s)
bolt encode           , N D C B:,   16384, 256,  16,  8,    (5x10):,  5.5100, (4.7576e+07/s),  5.5220, (4.7473e+07/s),  5.5300, (4.7404e+07/s),  5.5430, (4.7293e+07/s),  5.5180, (4.7507e+07/s)
pq encode             , N D C B:,   16384, 256,   8,  8,    (5x10):, 119.1020, (2.2010e+06/s), 119.7750, (2.1886e+06/s), 119.3160, (2.1971e+06/s), 119.2640, (2.1980e+06/s), 119.4820, (2.1940e+06/s)
opq encode            , N D C B:,   16384, 256,   8,  8,    (5x10):, 181.9700, (1.4406e+06/s), 180.9940, (1.4484e+06/s), 180.8800, (1.4493e+06/s), 182.1180, (1.4394e+06/s), 181.7400, (1.4424e+06/s)
mithral encode f32    , N D C B:,   16384, 256,  32, 16,    (5x10):,  0.3050, (1.7190e+09/s),  0.3040, (1.7246e+09/s),  0.3070, (1.7078e+09/s),  0.3080, (1.7022e+09/s),  0.3080, (1.7022e+09/s)
mithral encode i8     , N D C B:,   16384, 256,  32, 16,    (5x10):,  0.2020, (2.5955e+09/s),  0.1930, (2.7165e+09/s),  0.1950, (2.6887e+09/s),  0.1920, (2.7307e+09/s),  0.1920, (2.7307e+09/s)
mithral encode i16    , N D C B:,   16384, 256,  32, 16,    (5x10):,  0.2110, (2.4848e+09/s),  0.2110, (2.4848e+09/s),  0.2110, (2.4848e+09/s),  0.2090, (2.5086e+09/s),  0.2080, (2.5206e+09/s)
bolt encode           , N D C B:,   16384, 256,  32, 16,    (5x10):,  5.9960, (8.7440e+07/s),  5.9910, (8.7513e+07/s),  5.9910, (8.7513e+07/s),  5.9920, (8.7498e+07/s),  5.9980, (8.7410e+07/s)
