D,M,N,__pyience_timestamp__,acc-1nn-raw,acc_amm,acc_amm_1nn,acc_amm_rbf,acc_orig,acc_orig_1nn,acc_orig_rbf,alpha,canCheat,corr,cossim,d,lut_work_const,method,muls,ncodebooks,nlookups,nnz,normalized_mse,raw_mse,secs,sparsity,task_id,trial,y_mean,y_std,yhat_mean,yhat_std
320,256,300,2020-01-03T13_25_42,0.88,0.8766666666666667,0.8766666666666667,0.8766666666666667,0.8766666666666667,0.8766666666666667,0.8766666666666667,,,1.0,0.9999999403953552,,,Exact,24576000.0,,,,0.0,0.0,0.0005154790123924613,,ucr SyntheticControl k=256,0,1.6978864669799805,146.5854949951172,1.6978864669799805,146.5854949951172
320,256,3582,2020-01-03T13_25_42,0.9481,0.9137353433835846,0.9137353433835846,0.9137353433835846,0.9137353433835846,0.9137353433835846,0.9137353433835846,,,1.0000023841857908,1.0000023841857908,,,Exact,293437440.0,,,,0.0,0.0,0.0055380330013576895,,ucr UWaveGestureLibraryAll k=256,0,6.354305744171143,99.2210464477539,6.354305744171143,99.2210464477539
320,256,370,2020-01-03T13_25_42,0.9459,0.954054054054054,0.9243243243243244,0.954054054054054,0.954054054054054,0.9243243243243244,0.954054054054054,,,1.0,0.9999998211860656,,,Exact,30310400.0,,,,0.0,0.0,0.0005700699985027312,,ucr Strawberry k=256,0,310.315673828125,12.299518585205078,310.315673828125,12.299518585205078
320,256,6164,2020-01-03T13_25_42,0.9955,0.9918883841661259,0.9918883841661259,0.9918883841661259,0.9918883841661259,0.9918883841661259,0.9918883841661259,,,1.0000022649765017,1.000003457069397,,,Exact,504954880.0,,,,0.0,0.0,0.009192919009365141,,ucr Wafer k=256,0,37.989463806152344,189.1545562744141,37.989463806152344,189.1545562744141
320,256,391,2020-01-03T13_25_42,0.6113,0.4245524296675192,0.5856777493606138,0.4245524296675192,0.4245524296675192,0.5856777493606138,0.4245524296675192,,,1.0000001192092896,0.9999996423721312,,,Exact,32030720.0,,,,0.0,0.0,0.0006193759909365326,,ucr Adiac k=256,0,309.77801513671875,20.08017921447754,309.77801513671875,20.08017921447754
320,256,3000,2020-01-03T13_25_42,0.8303,0.805,0.807,0.805,0.805,0.807,0.805,,,1.0000017881393433,1.0000019073486328,,,Exact,245760000.0,,,,0.0,0.0,0.0042992549861082825,,ucr Yoga k=256,0,81.62687683105469,161.342041015625,81.62687683105469,161.342041015625
320,256,700,2020-01-03T13_25_42,0.5686,0.2885714285714286,0.2885714285714286,0.2885714285714286,0.2885714285714286,0.2885714285714286,0.2885714285714286,,,1.0000001192092896,1.0,,,Exact,57344000.0,,,,0.0,0.0,0.0013882000057492405,,ucr AllGestureWiimoteY k=256,0,-83.74156951904297,49.69345474243164,-83.74156951904297,49.69345474243164
320,256,600,2020-01-03T13_25_42,0.7517,0.6533333333333333,0.6533333333333333,0.6533333333333333,0.6533333333333333,0.6533333333333333,0.6533333333333333,,,1.0,0.9999998211860656,,,Exact,49152000.0,,,,0.0,0.0,0.0009285539999837057,,ucr ShapesAll k=256,0,45.6900405883789,139.92868041992188,45.6900405883789,139.92868041992188
320,256,154,2020-01-03T13_25_42,0.513,0.5714285714285714,0.3181818181818182,0.5714285714285714,0.5714285714285714,0.3181818181818182,0.5714285714285714,,,1.0000004768371582,1.0000001192092896,,,Exact,12615680.0,,,,0.0,0.0,0.0004271999932825565,,ucr MiddlePhalanxTW k=256,0,311.07952880859375,6.7408013343811035,311.07952880859375,6.7408013343811035
320,256,700,2020-01-03T13_25_42,0.5157,0.21,0.21,0.21,0.21,0.21,0.21,,,1.000000238418579,1.0000001192092896,,,Exact,57344000.0,,,,0.0,0.0,0.0010157000069739297,,ucr AllGestureWiimoteX k=256,0,-146.25074768066406,54.38389205932617,-146.25074768066406,54.38389205932617
