D,M,N,__pyience_timestamp__,acc_amm,acc_orig,alpha,bias,canCheat,corr,cossim,d,lut_work_const,method,muls,ncentroids,ncodebooks,nlookups,nnz,normalized_mse,problem,r,raw_mse,s,secs,sparsity,task_id,trial,y_mean,y_std,yhat_mean,yhat_std
512,10,10000,2019-12-31T16_39_16,0.1,0.9359,,-0.5382037758827211,,,,1.0,,Hadamard,5220000.0,,,,,4.067399501800537,,0.03582615777850151,55.040916442871094,,0.008954477030783892,,CIFAR-10 Softmax,1,0.045806057751178735,3.67861557006836,,6.549725532531737
512,10,10000,2019-12-31T16_39_16,0.1,0.9359,,-0.5382037758827211,,,,1.0,,Hadamard,5220000.0,,,,,4.067399501800537,,0.03582615777850151,55.040916442871094,,0.008385336026549341,,CIFAR-10 Softmax,2,0.045806057751178735,3.67861557006836,,6.549725532531737
512,10,10000,2019-12-31T16_39_16,0.1,0.9359,,-0.5382037758827211,,,,1.0,,Hadamard,5220000.0,,,,,4.067399501800537,,0.03582615777850151,55.040916442871094,,0.008406831067986786,,CIFAR-10 Softmax,3,0.045806057751178735,3.67861557006836,,6.549725532531737
512,10,10000,2019-12-31T16_39_16,0.1,0.9359,,-0.5382037758827211,,,,1.0,,Hadamard,5220000.0,,,,,4.067399501800537,,0.03582615777850151,55.040916442871094,,0.008423335035331547,,CIFAR-10 Softmax,4,0.045806057751178735,3.67861557006836,,6.549725532531737
512,10,10000,2019-12-31T16_39_16,0.1,0.9359,,-0.3560718297958374,,,,2.0,,Hadamard,10440000.0,,,,,2.433689832687378,,0.06341934949159622,32.93320846557617,,0.011400852934457362,,CIFAR-10 Softmax,1,0.045806057751178735,3.67861557006836,,4.626485347747803
512,10,10000,2019-12-31T16_39_16,0.1,0.9359,,-0.3560718297958374,,,,2.0,,Hadamard,10440000.0,,,,,2.433689832687378,,0.06341934949159622,32.93320846557617,,0.0110558649757877,,CIFAR-10 Softmax,2,0.045806057751178735,3.67861557006836,,4.626485347747803
512,10,10000,2019-12-31T16_39_16,0.1,0.9359,,-0.3560718297958374,,,,2.0,,Hadamard,10440000.0,,,,,2.433689832687378,,0.06341934949159622,32.93320846557617,,0.013119188020937143,,CIFAR-10 Softmax,3,0.045806057751178735,3.67861557006836,,4.626485347747803
512,10,10000,2019-12-31T16_39_16,0.1,0.9359,,-0.3560718297958374,,,,2.0,,Hadamard,10440000.0,,,,,2.433689832687378,,0.06341934949159622,32.93320846557617,,0.011105282930657271,,CIFAR-10 Softmax,4,0.045806057751178735,3.67861557006836,,4.626485347747803
512,10,10000,2019-12-31T16_39_17,0.1002,0.9359,,-0.2090417444705963,,,,4.0,,Hadamard,20880000.0,,,,,1.614171266555786,,0.12838293612003324,21.843307495117188,,0.009705904987640679,,CIFAR-10 Softmax,1,0.045806057751178735,3.67861557006836,,3.3836956024169917
512,10,10000,2019-12-31T16_39_17,0.1002,0.9359,,-0.2090417444705963,,,,4.0,,Hadamard,20880000.0,,,,,1.614171266555786,,0.12838293612003324,21.843307495117188,,0.010266563040204344,,CIFAR-10 Softmax,2,0.045806057751178735,3.67861557006836,,3.3836956024169917
512,10,10000,2019-12-31T16_39_17,0.1002,0.9359,,-0.2090417444705963,,,,4.0,,Hadamard,20880000.0,,,,,1.614171266555786,,0.12838293612003324,21.843307495117188,,0.012528080958873034,,CIFAR-10 Softmax,3,0.045806057751178735,3.67861557006836,,3.3836956024169917
512,10,10000,2019-12-31T16_39_17,0.1002,0.9359,,-0.2090417444705963,,,,4.0,,Hadamard,20880000.0,,,,,1.614171266555786,,0.12838293612003324,21.843307495117188,,0.01352416502777487,,CIFAR-10 Softmax,4,0.045806057751178735,3.67861557006836,,3.3836956024169917
512,10,10000,2019-12-31T16_39_17,0.1175,0.9359,,-0.10701387375593184,,,,8.0,,Hadamard,41760000.0,,,,,1.176796317100525,,0.19943934679031367,15.924657821655273,,0.010552998050116004,,CIFAR-10 Softmax,1,0.045806057751178735,3.67861557006836,,2.4402785301208496
512,10,10000,2019-12-31T16_39_17,0.1175,0.9359,,-0.10701387375593184,,,,8.0,,Hadamard,41760000.0,,,,,1.176796317100525,,0.19943934679031367,15.924657821655273,,0.010211772983893752,,CIFAR-10 Softmax,2,0.045806057751178735,3.67861557006836,,2.4402785301208496
512,10,10000,2019-12-31T16_39_17,0.1175,0.9359,,-0.10701387375593184,,,,8.0,,Hadamard,41760000.0,,,,,1.176796317100525,,0.19943934679031367,15.924657821655273,,0.010561492992565036,,CIFAR-10 Softmax,3,0.045806057751178735,3.67861557006836,,2.4402785301208496
512,10,10000,2019-12-31T16_39_17,0.1175,0.9359,,-0.10701387375593184,,,,8.0,,Hadamard,41760000.0,,,,,1.176796317100525,,0.19943934679031367,15.924657821655273,,0.010358593077398837,,CIFAR-10 Softmax,4,0.045806057751178735,3.67861557006836,,2.4402785301208496
512,10,10000,2020-01-05T14_34_21,0.9359,0.9359,,,,1.0000001192092896,0.9999997019767758,,,Exact,51200000.0,,,,,2.0634103759941018e-14,,,2.7922507513621075e-13,,0.004059106984641403,,CIFAR-10 Softmax,0,0.045806057751178735,3.67861557006836,0.04580600932240486,3.67861557006836
512,10,10000,2020-01-05T14_34_22,0.9312,0.9359,,,,0.9444327354431152,0.9443358778953552,,,Bolt,81920000.0,,2.0,200000.0,,0.10900962352752687,,,1.4751414060592651,,0.43917500000679865,,CIFAR-10 Softmax,0,0.045806057751178735,3.67861557006836,-0.0058949156664311895,3.3727164268493652
512,10,10000,2020-01-05T14_34_24,0.9319,0.9359,,,,0.9509204626083374,0.9508860111236572,,,Bolt,81920000.0,,4.0,400000.0,,0.09591533988714218,,,1.2979466915130615,,0.4259584390092641,,CIFAR-10 Softmax,0,0.045806057751178735,3.67861557006836,0.012423552572727205,3.4645137786865234
512,10,10000,2020-01-05T14_34_25,0.9348,0.9359,,,,0.9529919028282166,0.9529487490653992,,,Bolt,81920000.0,,8.0,800000.0,,0.09191542863845824,,,1.2438191175460815,,0.44405835098586977,,CIFAR-10 Softmax,0,0.045806057751178735,3.67861557006836,0.009714527986943722,3.518616914749145
512,10,10000,2020-01-05T14_34_26,0.9349,0.9359,,,,0.9582217335700988,0.958169400691986,,,Bolt,81920000.0,,16.0,1600000.0,,0.09111545979976654,,,1.232993721961975,,0.3796850109938532,,CIFAR-10 Softmax,0,0.045806057751178735,3.67861557006836,0.005646158009767532,3.17233943939209
