D,M,N,__pyience_timestamp__,acc_amm,acc_orig,corr,cossim,method,muls,ncodebooks,nlookups,normalized_mse,problem,raw_mse,secs,task_id,trial,y_mean,y_std,yhat_mean,yhat_std
320,5,308,2020-01-27T19_40_47,0.42857142857142855,0.43506493506493504,0.8987027689432534,0.9486483669768523,Bolt,1576960,16,24640,0.23020689552135215,softmax,1.2372572939665532,0.0131725610117428,ucr Haptics k=64,0,-2.2845338956574714,2.318306470248887,-2.7129788398742676,2.2248470783233643
320,6,300,2020-01-27T19_40_47,0.7233333333333334,0.76,0.8666759612593673,0.8580946381455726,Bolt,1536000,16,28800,0.26959736851844507,softmax,2.74016239053415,0.013118375005433336,ucr SyntheticControl k=64,0,-0.2863902148787604,3.1880881878128524,-0.7371671795845032,2.84930682182312
320,5,77,2020-01-27T19_40_47,0.36363636363636365,0.2987012987012987,0.5272425532277862,0.510039879448973,Bolt,394240,16,6160,0.8732814500775083,softmax,8.768586328917793,0.003677426982903853,ucr Worms k=64,0,-0.26320113803405226,3.168747787703477,-1.1842938661575317,2.489506483078003
320,1,250,2020-01-27T19_40_47,0.5,0.5,0.41781800273348824,0.420574566315422,Bolt,1280000,16,4000,0.8789400674338017,softmax,9.586250554940197,0.046042414993280545,ucr Computers k=64,0,-0.3261776846561688,3.3025146787337962,-0.8425446152687073,1.9428766965866089
320,26,130,2020-01-27T19_40_47,0.3230769230769231,0.27692307692307694,0.9481415059864036,0.987375701472911,Bolt,665600,16,54080,0.11339299438756588,softmax,1.3923992432063017,0.007067897997330874,ucr GestureMidAirD3 k=64,0,-6.187240627949071,3.5041991288211074,-6.576779842376709,3.332308530807495
